,Jahr,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR
16,2004-01-01,36421.0,50005.0,67407.0,18068.0,4221.0,61730.0,254858.0,32287.0,18951.0,134527.0,254481.0,2595607.0,43831.0,367881.0,57832.0,75122.0,38870.0,4100.0,212962.0,46.0,11602.0,3249.0,42700.0,1934.0,42348.0,44906.0,424965.0,85663.0,162141.0,50161.0,20747.0,38711.0,308119.0
17,2003-01-01,36793.0,50566.0,66699.0,18131.0,4232.0,61985.0,262468.0,31725.0,20814.0,129384.0,268624.0,2632084.0,45032.0,382714.0,60567.0,73145.0,38105.0,4036.0,234897.0,48.0,11466.0,3631.0,34190.0,1522.0,43375.0,47387.0,422939.0,89324.0,144188.0,51354.0,20819.0,41527.0,306108.0
18,2002-01-01,37015.0,49925.0,64239.0,18175.0,4248.0,62192.0,276250.0,31771.0,23382.0,134286.0,250467.0,2590460.0,44059.0,382936.0,53109.0,61562.0,36814.0,3049.0,218100.0,47.0,11790.0,3196.0,32530.0,1462.0,45454.0,50758.0,428394.0,100406.0,123767.0,50584.0,20067.0,42455.0,282649.0
19,2001-01-01,38096.0,53189.0,53644.0,18779.0,4281.0,66754.0,283592.0,32507.0,27213.0,133455.0,253447.0,2672573.0,43627.0,406508.0,49730.0,78531.0,37804.0,3427.0,249157.0,48.0,11443.0,3213.0,32774.0,1457.0,46625.0,50316.0,425164.0,92435.0,121442.0,51450.0,22139.0,52896.0,284338.0
20,2000-01-01,37958.0,54960.0,63110.0,19157.0,4732.0,67103.0,298429.0,32862.0,27632.0,128107.0,260964.0,2722031.0,42510.0,420587.0,47693.0,72558.0,36778.0,3330.0,257078.0,55.0,11317.0,3015.0,31657.0,1313.0,48800.0,51011.0,417221.0,90174.0,139400.0,52591.0,19707.0,53778.0,320543.0
21,1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1997-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1996-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1995-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1994-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1993-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1991-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
