,Zeit,Nutzungsart,Bodenfläche (qkm),Bodenfläche (qkm)_start,Normalisiert
184,2020-12-31,Stehendes Gewässer,4170.49,4118.7,101.2574355986112
185,2021-12-31,Stehendes Gewässer,4180.22,4118.7,101.49367518877317
186,2016-12-31,Meer,333.15,333.15,100.0
187,2017-12-31,Meer,334.69,333.15,100.4622542398319
188,2018-12-31,Meer,334.93,333.15,100.5342938616239
189,2019-12-31,Meer,335.75,333.15,100.78042923607985
190,2020-12-31,Meer,336.33,333.15,100.95452498874383
191,2021-12-31,Meer,335.9,333.15,100.82545399969985
192,2016-12-31,Insgesamt,357579.63,357579.63,100.0
193,2017-12-31,Insgesamt,357581.68,357579.63,100.0005732988761
194,2018-12-31,Insgesamt,357581.54,357579.63,100.00053414675773
195,2019-12-31,Insgesamt,357580.65,357579.63,100.00028525114813
196,2020-12-31,Insgesamt,357587.16,357579.63,100.00210582465226
197,2021-12-31,Insgesamt,357591.89,357579.63,100.00342860693713
