name,aggregate,longitude,latitude,region,adminregion,lendingType,incomeLevel,capitalCity
Italy,False,12.4823,41.8955,ECS,,LNX,HIC,Rome
Jamaica,False,-76.792,17.9927,LCN,LAC,IBD,UMC,Kingston
Jordan,False,35.9263,31.9497,MEA,MNA,IBD,UMC,Amman
Japan,False,139.77,35.67,EAS,,LNX,HIC,Tokyo
Kazakhstan,False,71.4382,51.1879,ECS,ECA,IBD,UMC,Astana
Kenya,False,36.8126,-1.27975,SSF,SSA,IDB,LMC,Nairobi
Kyrgyz Republic,False,74.6057,42.8851,ECS,ECA,IDX,LMC,Bishkek
Cambodia,False,104.874,11.5556,EAS,EAP,IDX,LMC,Phnom Penh
Kiribati,False,172.979,1.32905,EAS,EAP,IDX,LMC,Tarawa
St. Kitts and Nevis,False,-62.7309,17.3,LCN,,IBD,HIC,Basseterre
"Korea, Rep.",False,126.957,37.5323,EAS,,LNX,HIC,Seoul
Kuwait,False,47.9824,29.3721,MEA,,LNX,HIC,Kuwait City
Latin America & Caribbean (excluding high income),True,,,,,,,
Lao PDR,False,102.177,18.5826,EAS,EAP,IDX,LMC,Vientiane
Lebanon,False,35.5134,33.8872,MEA,MNA,IBD,LMC,Beirut
Liberia,False,-10.7957,6.30039,SSF,SSA,IDX,LIC,Monrovia
Libya,False,13.1072,32.8578,MEA,MNA,IBD,UMC,Tripoli
St. Lucia,False,-60.9832,14.0,LCN,LAC,IDB,UMC,Castries
Latin America & Caribbean,True,,,,,,,
Least developed countries: UN classification,True,,,,,,,
Low income,True,,,,,,,
Liechtenstein,False,9.52148,47.1411,ECS,,LNX,HIC,Vaduz
Sri Lanka,False,79.8528,6.92148,SAS,SAS,IDX,LMC,Colombo
Lower middle income,True,,,,,,,
Low & middle income,True,,,,,,,
Lesotho,False,27.7167,-29.5208,SSF,SSA,IDX,LMC,Maseru
Late-demographic dividend,True,,,,,,,
Lithuania,False,25.2799,54.6896,ECS,,LNX,HIC,Vilnius
Luxembourg,False,6.1296,49.61,ECS,,LNX,HIC,Luxembourg
Latvia,False,24.1048,56.9465,ECS,,LNX,HIC,Riga
"Macao SAR, China",False,113.55,22.1667,EAS,,LNX,HIC,
St. Martin (French part),False,,,LCN,,LNX,HIC,Marigot
Morocco,False,-6.8704,33.9905,MEA,MNA,IBD,LMC,Rabat
Monaco,False,7.41891,43.7325,ECS,,LNX,HIC,Monaco
Moldova,False,28.8497,47.0167,ECS,ECA,IBD,UMC,Chisinau
Madagascar,False,45.7167,-20.4667,SSF,SSA,IDX,LIC,Antananarivo
Maldives,False,73.5109,4.1742,SAS,SAS,IDX,UMC,Male
Middle East & North Africa,True,,,,,,,
Mexico,False,-99.1276,19.427,LCN,LAC,IBD,UMC,Mexico City
Marshall Islands,False,171.135,7.11046,EAS,EAP,IDX,UMC,Majuro
Middle income,True,,,,,,,
North Macedonia,False,21.4361,42.0024,ECS,ECA,IBD,UMC,Skopje
Mali,False,-7.50034,13.5667,SSF,SSA,IDX,LIC,Bamako
Malta,False,14.5189,35.9042,MEA,,LNX,HIC,Valletta
Myanmar,False,95.9562,21.914,EAS,EAP,IDX,LMC,Naypyidaw
Middle East & North Africa (excluding high income),True,,,,,,,
Montenegro,False,19.2595,42.4602,ECS,ECA,IBD,UMC,Podgorica
Mongolia,False,106.937,47.9129,EAS,EAP,IBD,LMC,Ulaanbaatar
Northern Mariana Islands,False,145.765,15.1935,EAS,,LNX,HIC,Saipan
Mozambique,False,32.5713,-25.9664,SSF,SSA,IDX,LIC,Maputo
Mauritania,False,-15.9824,18.2367,SSF,SSA,IDX,LMC,Nouakchott
Mauritius,False,57.4977,-20.1605,SSF,SSA,IBD,UMC,Port Louis
Malawi,False,33.7703,-13.9899,SSF,SSA,IDX,LIC,Lilongwe
Malaysia,False,101.684,3.12433,EAS,EAP,IBD,UMC,Kuala Lumpur
North America,True,,,,,,,
Namibia,False,17.0931,-22.5648,SSF,SSA,IBD,UMC,Windhoek
New Caledonia,False,166.464,-22.2677,EAS,,LNX,HIC,Noum'ea
Niger,False,2.1073,13.514,SSF,SSA,IDX,LIC,Niamey
Nigeria,False,7.48906,9.05804,SSF,SSA,IDB,LMC,Abuja
Nicaragua,False,-86.2734,12.1475,LCN,LAC,IDX,LMC,Managua
Netherlands,False,4.89095,52.3738,ECS,,LNX,HIC,Amsterdam
Norway,False,10.7387,59.9138,ECS,,LNX,HIC,Oslo
Nepal,False,85.3157,27.6939,SAS,SAS,IDX,LMC,Kathmandu
Nauru,False,166.920867,-0.5477,EAS,,IBD,HIC,Yaren District
New Zealand,False,174.776,-41.2865,EAS,,LNX,HIC,Wellington
OECD members,True,,,,,,,
Oman,False,58.5874,23.6105,MEA,,LNX,HIC,Muscat
Other small states,True,,,,,,,
Pakistan,False,72.8,30.5167,SAS,SAS,IDB,LMC,Islamabad
Panama,False,-79.5188,8.99427,LCN,,IBD,HIC,Panama City
Peru,False,-77.0465,-12.0931,LCN,LAC,IBD,UMC,Lima
Philippines,False,121.035,14.5515,EAS,EAP,IBD,LMC,Manila
Palau,False,134.479,7.34194,EAS,EAP,IBD,UMC,Koror
Papua New Guinea,False,147.194,-9.47357,EAS,EAP,IDB,LMC,Port Moresby
Poland,False,21.02,52.26,ECS,,IBD,HIC,Warsaw
Pre-demographic dividend,True,,,,,,,
Puerto Rico,False,-66.0,18.23,LCN,,LNX,HIC,San Juan
"Korea, Dem. People's Rep.",False,125.754,39.0319,EAS,EAP,LNX,LIC,Pyongyang
Portugal,False,-9.13552,38.7072,ECS,,LNX,HIC,Lisbon
Paraguay,False,-57.6362,-25.3005,LCN,LAC,IBD,UMC,Asuncion
West Bank and Gaza,False,,,MEA,MNA,LNX,LMC,
Pacific island small states,True,,,,,,,
Post-demographic dividend,True,,,,,,,
French Polynesia,False,-149.57,-17.535,EAS,,LNX,HIC,Papeete
Qatar,False,51.5082,25.2948,MEA,,LNX,HIC,Doha
Romania,False,26.0979,44.4479,ECS,,IBD,HIC,Bucharest
Russian Federation,False,37.6176,55.7558,ECS,ECA,IBD,UMC,Moscow
Rwanda,False,30.0587,-1.95325,SSF,SSA,IDX,LIC,Kigali
South Asia,True,,,,,,,
Saudi Arabia,False,46.6977,24.6748,MEA,,LNX,HIC,Riyadh
Sudan,False,32.5363,15.5932,SSF,SSA,IDX,LIC,Khartoum
Senegal,False,-17.4734,14.7247,SSF,SSA,IDX,LMC,Dakar
Singapore,False,103.85,1.28941,EAS,,LNX,HIC,Singapore
Solomon Islands,False,159.949,-9.42676,EAS,EAP,IDX,LMC,Honiara
Sierra Leone,False,-13.2134,8.4821,SSF,SSA,IDX,LIC,Freetown
El Salvador,False,-89.2073,13.7034,LCN,LAC,IBD,LMC,San Salvador
San Marino,False,12.4486,43.9322,ECS,,LNX,HIC,San Marino
Somalia,False,45.3254,2.07515,SSF,SSA,IDX,LIC,Mogadishu
Serbia,False,20.4656,44.8024,ECS,ECA,IBD,UMC,Belgrade
Sub-Saharan Africa (excluding high income),True,,,,,,,
South Sudan,False,31.6,4.85,SSF,SSA,IDX,LIC,Juba
Sub-Saharan Africa,True,,,,,,,
Small states,True,,,,,,,
Sao Tome and Principe,False,6.6071,0.20618,SSF,SSA,IDX,LMC,Sao Tome
Suriname,False,-55.1679,5.8232,LCN,LAC,IBD,UMC,Paramaribo
Slovak Republic,False,17.1073,48.1484,ECS,,LNX,HIC,Bratislava
Slovenia,False,14.5044,46.0546,ECS,,LNX,HIC,Ljubljana
Sweden,False,18.0645,59.3327,ECS,,LNX,HIC,Stockholm
Eswatini,False,31.4659,-26.5225,SSF,SSA,IBD,LMC,Mbabane
Sint Maarten (Dutch part),False,,,LCN,,LNX,HIC,Philipsburg
Seychelles,False,55.4466,-4.6309,SSF,,IBD,HIC,Victoria
Syrian Arab Republic,False,36.3119,33.5146,MEA,MNA,IDX,LIC,Damascus
Turks and Caicos Islands,False,-71.141389,21.4602778,LCN,,LNX,HIC,Grand Turk
Chad,False,15.0445,12.1048,SSF,SSA,IDX,LIC,N'Djamena
East Asia & Pacific (IDA & IBRD countries),True,,,,,,,
Europe & Central Asia (IDA & IBRD countries),True,,,,,,,
